security	industry	subindustry	corpussymbol	tickersymbol	allinfo
Advanced Micro Devices	Information Technology	None	AMD	AMD	{'Date': 'March 20, 2017', 'Ticker': 'AMD', 'Security': 'Advanced Micro Devices', 'Ticker_1': 'URBN', 'Security_1': 'Urban Outfitters', 'Reason': 'Market capitalization changes.', 'count': 841, 'plot_fps': ['./output_corpus_extract/AMD.png', './output_corpus_extract/AMD_7mean_roll.png', './output_corpus_extract/AMD_30mean_roll.png'], 'daily_scraped_mean': 2.88, '7day_scraped_mean': 2.87, '30day_scraped_mean': 2.96, 'Date first added': None, 'CIK': None, 'GICS': None, 'GICS Sub Industry': None, 'SEC filings': None, 'Address of Headquarters': None, 'Ticker symbol': None}
General Motors	Consumer Discretionary	None	GM	GM	{'Date': 'June 6, 2013', 'Ticker': 'GM', 'Security': 'General Motors', 'Ticker_1': 'HNZ', 'Security_1': 'H. J. Heinz Company', 'Reason': 'HNZ acquired by consortium', 'count': 774, 'plot_fps': ['./output_corpus_extract/GM.png', './output_corpus_extract/GM_7mean_roll.png', './output_corpus_extract/GM_30mean_roll.png'], 'daily_scraped_mean': 2.44, '7day_scraped_mean': 2.46, '30day_scraped_mean': 2.5, 'Date first added': None, 'CIK': None, 'GICS': None, 'GICS Sub Industry': None, 'SEC filings': None, 'Address of Headquarters': None, 'Ticker symbol': None}
Bank of America Corp	Financials	Diversified Banks	BAC	BAC	{'Ticker symbol': 'BAC', 'Security': 'Bank of America Corp', 'SEC filings': 'reports', 'GICS': 'Financials', 'GICS Sub Industry': 'Diversified Banks', 'Address of Headquarters': 'Charlotte, North Carolina', 'Date first added': '1976-06-30', 'CIK': '0000070858', 'count': 657, 'plot_fps': ['./output_corpus_extract/BAC.png', './output_corpus_extract/BAC_7mean_roll.png', './output_corpus_extract/BAC_30mean_roll.png'], 'daily_scraped_mean': 2.24, '7day_scraped_mean': 2.26, '30day_scraped_mean': 2.3, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
American Airlines Group	Industrials	None	aal	None	{'Date': 'March 23, 2015', 'Ticker': 'AAL', 'Security': 'American Airlines Group', 'Ticker_1': 'AGN', 'Security_1': 'Allergan, Inc', 'Reason': 'Allergan acquired by Actavis plc (and changed name to Allergan, pl.', 'count': 650, 'plot_fps': ['./output_corpus_extract/AAL.png', './output_corpus_extract/AAL_7mean_roll.png', './output_corpus_extract/AAL_30mean_roll.png'], 'daily_scraped_mean': 2.24, '7day_scraped_mean': 2.25, '30day_scraped_mean': 2.32, 'Date first added': None, 'CIK': None, 'GICS': None, 'GICS Sub Industry': None, 'SEC filings': None, 'Address of Headquarters': None, 'Ticker symbol': None}
Microsoft Corp.	Information Technology	Systems Software	MSFT	MSFT	{'Ticker symbol': 'MSFT', 'Security': 'Microsoft Corp.', 'SEC filings': 'reports', 'GICS': 'Information Technology', 'GICS Sub Industry': 'Systems Software', 'Address of Headquarters': 'Redmond, Washington', 'Date first added': '1994-06-01', 'CIK': '0000789019', 'count': 1092, 'plot_fps': ['./output_corpus_extract/MSFT.png', './output_corpus_extract/MSFT_7mean_roll.png', './output_corpus_extract/MSFT_30mean_roll.png'], 'daily_scraped_mean': 2.7, '7day_scraped_mean': 2.74, '30day_scraped_mean': 2.89, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Twenty-First Century Fox Class B	Consumer Discretionary	Publishing	FOX	FOX	{'Ticker symbol': 'FOX', 'Security': 'Twenty-First Century Fox Class B', 'SEC filings': 'reports', 'GICS': 'Consumer Discretionary', 'GICS Sub Industry': 'Publishing', 'Address of Headquarters': 'New York, New York', 'Date first added': '2015-09-18', 'CIK': '0001308161', 'count': 565, 'plot_fps': ['./output_corpus_extract/FOX.png', './output_corpus_extract/FOX_7mean_roll.png', './output_corpus_extract/FOX_30mean_roll.png'], 'daily_scraped_mean': 2.2, '7day_scraped_mean': 2.21, '30day_scraped_mean': 2.22, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Comcast Corp.	Consumer Discretionary	Cable & Satellite	CMCSA	CMCSA	{'Ticker symbol': 'CMCSA', 'Security': 'Comcast Corp.', 'SEC filings': 'reports', 'GICS': 'Consumer Discretionary', 'GICS Sub Industry': 'Cable & Satellite', 'Address of Headquarters': 'Philadelphia, Pennsylvania', 'Date first added': '2015-09-18', 'CIK': '0001166691', 'count': 11, 'plot_fps': ['./output_corpus_extract/CMCSA.png', './output_corpus_extract/CMCSA_7mean_roll.png', './output_corpus_extract/CMCSA_30mean_roll.png'], 'daily_scraped_mean': 2.2, '7day_scraped_mean': nan, '30day_scraped_mean': nan, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Wal-Mart Stores	Consumer Staples	Hypermarkets & Super Centers	WMT	WMT	{'Ticker symbol': 'WMT', 'Security': 'Wal-Mart Stores', 'SEC filings': 'reports', 'GICS': 'Consumer Staples', 'GICS Sub Industry': 'Hypermarkets & Super Centers', 'Address of Headquarters': 'Bentonville, Arkansas', 'Date first added': '1982-08-31', 'CIK': '0000104169', 'count': 682, 'plot_fps': ['./output_corpus_extract/WMT.png', './output_corpus_extract/WMT_7mean_roll.png', './output_corpus_extract/WMT_30mean_roll.png'], 'daily_scraped_mean': 2.18, '7day_scraped_mean': 2.19, '30day_scraped_mean': 2.2, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Chipotle Mexican Grill	Consumer Discretionary	None	CMG	CMG	{'Date': 'April 27, 2011', 'Ticker': 'CMG', 'Security': 'Chipotle Mexican Grill', 'Ticker_1': 'NOVL', 'Security_1': 'Novell, Inc.', 'Reason': 'Acquired by private equity firms.', 'count': 513, 'plot_fps': ['./output_corpus_extract/CMG.png', './output_corpus_extract/CMG_7mean_roll.png', './output_corpus_extract/CMG_30mean_roll.png'], 'daily_scraped_mean': 2.17, '7day_scraped_mean': 2.19, '30day_scraped_mean': 2.17, 'Date first added': None, 'CIK': None, 'GICS': None, 'GICS Sub Industry': None, 'SEC filings': None, 'Address of Headquarters': None, 'Ticker symbol': None}
Johnson & Johnson	Health Care	Health Care Equipment	JNJ	JNJ	{'Ticker symbol': 'JNJ', 'Security': 'Johnson & Johnson', 'SEC filings': 'reports', 'GICS': 'Health Care', 'GICS Sub Industry': 'Health Care Equipment', 'Address of Headquarters': 'New Brunswick, New Jersey', 'Date first added': '1973-06-30', 'CIK': '0000200406', 'count': 485, 'plot_fps': ['./output_corpus_extract/JNJ.png', './output_corpus_extract/JNJ_7mean_roll.png', './output_corpus_extract/JNJ_30mean_roll.png'], 'daily_scraped_mean': 2.01, '7day_scraped_mean': 2.02, '30day_scraped_mean': 2.01, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Chevron Corp.	Energy	Integrated Oil & Gas	CVX	CVX	{'Ticker symbol': 'CVX', 'Security': 'Chevron Corp.', 'SEC filings': 'reports', 'GICS': 'Energy', 'GICS Sub Industry': 'Integrated Oil & Gas', 'Address of Headquarters': 'San Ramon, California', 'Date first added': '', 'CIK': '0000093410', 'count': 510, 'plot_fps': ['./output_corpus_extract/CVX.png', './output_corpus_extract/CVX_7mean_roll.png', './output_corpus_extract/CVX_30mean_roll.png'], 'daily_scraped_mean': 1.93, '7day_scraped_mean': 1.92, '30day_scraped_mean': 1.97, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Costco Wholesale Corp.	Consumer Staples	Hypermarkets & Super Centers	COST	COST	{'Ticker symbol': 'COST', 'Security': 'Costco Wholesale Corp.', 'SEC filings': 'reports', 'GICS': 'Consumer Staples', 'GICS Sub Industry': 'Hypermarkets & Super Centers', 'Address of Headquarters': 'Issaquah, Washington', 'Date first added': '1993-10-01', 'CIK': '0000909832', 'count': 526, 'plot_fps': ['./output_corpus_extract/COST.png', './output_corpus_extract/COST_7mean_roll.png', './output_corpus_extract/COST_30mean_roll.png'], 'daily_scraped_mean': 1.91, '7day_scraped_mean': 1.94, '30day_scraped_mean': 2.06, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Chesapeake Energy	Energy	Oil & Gas Exploration & Production	CHK	CHK	{'Ticker symbol': 'CHK', 'Security': 'Chesapeake Energy', 'SEC filings': 'reports', 'GICS': 'Energy', 'GICS Sub Industry': 'Oil & Gas Exploration & Production', 'Address of Headquarters': 'Oklahoma City, Oklahoma', 'Date first added': '', 'CIK': '0000895126', 'count': 396, 'plot_fps': ['./output_corpus_extract/CHK.png', './output_corpus_extract/CHK_7mean_roll.png', './output_corpus_extract/CHK_30mean_roll.png'], 'daily_scraped_mean': 1.91, '7day_scraped_mean': 1.93, '30day_scraped_mean': 1.95, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Kinder Morgan	Energy	None	KMI	KMI	{'Date': 'May 17, 2012', 'Ticker': 'KMI', 'Security': 'Kinder Morgan', 'Ticker_1': 'EP', 'Security_1': 'El Paso Corp.', 'Reason': 'Acquired by Kinder Morgan (KMI)', 'count': 327, 'plot_fps': ['./output_corpus_extract/KMI.png', './output_corpus_extract/KMI_7mean_roll.png', './output_corpus_extract/KMI_30mean_roll.png'], 'daily_scraped_mean': 1.84, '7day_scraped_mean': 1.84, '30day_scraped_mean': 1.74, 'Date first added': None, 'CIK': None, 'GICS': None, 'GICS Sub Industry': None, 'SEC filings': None, 'Address of Headquarters': None, 'Ticker symbol': None}
Wells Fargo	Financials	Diversified Banks	WFC	WFC	{'Ticker symbol': 'WFC', 'Security': 'Wells Fargo', 'SEC filings': 'reports', 'GICS': 'Financials', 'GICS Sub Industry': 'Diversified Banks', 'Address of Headquarters': 'San Francisco, California', 'Date first added': '1976-06-30', 'CIK': '0000072971', 'count': 450, 'plot_fps': ['./output_corpus_extract/WFC.png', './output_corpus_extract/WFC_7mean_roll.png', './output_corpus_extract/WFC_30mean_roll.png'], 'daily_scraped_mean': 1.83, '7day_scraped_mean': 1.83, '30day_scraped_mean': 1.8, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Newmont Mining Corporation	Materials	Gold	NEM	NEM	{'Ticker symbol': 'NEM', 'Security': 'Newmont Mining Corporation', 'SEC filings': 'reports', 'GICS': 'Materials', 'GICS Sub Industry': 'Gold', 'Address of Headquarters': 'Denver, Colorado', 'Date first added': '1969-06-30', 'CIK': '0001164727', 'count': 331, 'plot_fps': ['./output_corpus_extract/NEM.png', './output_corpus_extract/NEM_7mean_roll.png', './output_corpus_extract/NEM_30mean_roll.png'], 'daily_scraped_mean': 1.8, '7day_scraped_mean': 1.78, '30day_scraped_mean': 1.75, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Goldman Sachs Group	Financials	Investment Banking & Brokerage	GS	GS	{'Ticker symbol': 'GS', 'Security': 'Goldman Sachs Group', 'SEC filings': 'reports', 'GICS': 'Financials', 'GICS Sub Industry': 'Investment Banking & Brokerage', 'Address of Headquarters': 'New York, New York', 'Date first added': '2002-07-22', 'CIK': '0000886982', 'count': 529, 'plot_fps': ['./output_corpus_extract/GS.png', './output_corpus_extract/GS_7mean_roll.png', './output_corpus_extract/GS_30mean_roll.png'], 'daily_scraped_mean': 1.74, '7day_scraped_mean': 1.76, '30day_scraped_mean': 1.87, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Duke Energy	Utilities	Electric Utilities	DUK	DUK	{'Ticker symbol': 'DUK', 'Security': 'Duke Energy', 'SEC filings': 'reports', 'GICS': 'Utilities', 'GICS Sub Industry': 'Electric Utilities', 'Address of Headquarters': 'Charlotte, North Carolina', 'Date first added': '1976-06-30', 'CIK': '0001326160', 'count': 343, 'plot_fps': ['./output_corpus_extract/DUK.png', './output_corpus_extract/DUK_7mean_roll.png', './output_corpus_extract/DUK_30mean_roll.png'], 'daily_scraped_mean': 1.58, '7day_scraped_mean': 1.59, '30day_scraped_mean': 1.56, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Procter & Gamble	Consumer Staples	Personal Products	PG	PG	{'Ticker symbol': 'PG', 'Security': 'Procter & Gamble', 'SEC filings': 'reports', 'GICS': 'Consumer Staples', 'GICS Sub Industry': 'Personal Products', 'Address of Headquarters': 'Cincinnati, Ohio', 'Date first added': '', 'CIK': '0000080424', 'count': 379, 'plot_fps': ['./output_corpus_extract/PG.png', './output_corpus_extract/PG_7mean_roll.png', './output_corpus_extract/PG_30mean_roll.png'], 'daily_scraped_mean': 1.57, '7day_scraped_mean': 1.56, '30day_scraped_mean': 1.58, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
AbbVie	Health Care	None	ABBV	ABBV	{'Date': 'December 31, 2012', 'Ticker': 'ABBV', 'Security': 'AbbVie', 'Ticker_1': 'FII', 'Security_1': 'Federated Investors', 'Reason': 'ABBV spun off from Abbott Labs (ABT)', 'count': 344, 'plot_fps': ['./output_corpus_extract/ABBV.png', './output_corpus_extract/ABBV_7mean_roll.png', './output_corpus_extract/ABBV_30mean_roll.png'], 'daily_scraped_mean': 1.55, '7day_scraped_mean': 1.56, '30day_scraped_mean': 1.58, 'Date first added': None, 'CIK': None, 'GICS': None, 'GICS Sub Industry': None, 'SEC filings': None, 'Address of Headquarters': None, 'Ticker symbol': None}
Celgene Corp.	Health Care	Biotechnology	CELG	CELG	{'Ticker symbol': 'CELG', 'Security': 'Celgene Corp.', 'SEC filings': 'reports', 'GICS': 'Health Care', 'GICS Sub Industry': 'Biotechnology', 'Address of Headquarters': 'Summit, New Jersey', 'Date first added': '2006-11-06', 'CIK': '0000816284', 'count': 359, 'plot_fps': ['./output_corpus_extract/CELG.png', './output_corpus_extract/CELG_7mean_roll.png', './output_corpus_extract/CELG_30mean_roll.png'], 'daily_scraped_mean': 1.55, '7day_scraped_mean': 1.54, '30day_scraped_mean': 1.58, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
